country_name_ru,country_name_en,m49_code,ISO_code
Сьерра-Леоне,Sierra Leone,694,SLE
Таджикистан,Tajikistan,762,TJK
Таиланд,Thailand,764,THA
Тимор-Лешти,Timor-Leste,626,TLS
Того,Togo,768,TGO
Токелау,Tokelau,772,TKL
Тонга,Tonga,776,TON
Тринидад и Тобаго,Trinidad and Tobago,780,TTO
Тувалу,Tuvalu,798,TUV
Тунис,Tunisia,788,TUN
Туркменистан,Turkmenistan,795,TKM
Турция,Türkiye,792,TUR
Уганда,Uganda,800,UGA
Узбекистан,Uzbekistan,860,UZB
Украина,Ukraine,804,UKR
Уругвай,Uruguay,858,URY
Фарерские острова,Faroe Islands,234,FRO
Фиджи,Fiji,242,FJI
Филиппины,Philippines,608,PHL
Финляндия,Finland,246,FIN
Фолклендские (Мальвинские) острова,Falkland Islands (Malvinas),238,FLK
Франция,France,250,FRA
Французская Гвиана,French Guiana,254,GUF
Французская Полинезия,French Polynesia,258,PYF
Хорватия,Croatia,191,HRV
Центральноафриканская Республика,Central African Republic,140,CAF
Чад,Chad,148,TCD
Черногория,Montenegro,499,MNE
Чехия,Czechia,203,CZE
Чили,Chile,152,CHL
Швейцария,Switzerland,756,CHE
Швеция,Sweden,752,SWE
Шри-Ланка,Sri Lanka,144,LKA
Эквадор,Ecuador,218,ECU
Экваториальная Гвинея,Equatorial Guinea,226,GNQ
Эритрея,Eritrea,232,ERI
Эсватини,Eswatini,748,SWZ
Эстония,Estonia,233,EST
Эфиопия,Ethiopia,231,ETH
Южная Африка,South Africa,710,ZAF
Южная Джорджия и Южные Сандвичевы острова,South Georgia and the South Sandwich Islands,239,SGS
Южные земли (французская заморская территория),French Southern Territories,260,ATF
Южный Судан,South Sudan,728,SSD
Ямайка,Jamaica,388,JAM
Япония,Japan,392,JPN
